v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3629d860,0x7fff364909ac,242761728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff5c35f94a,0x7fff5c35fb2e,242761728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff5c593f40,0x7fff5c5db2b0,242761728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff5bfe8f08,0x7fff5bfe990c,242761728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff5d0bdfd0,0x7fff5d2752e6,242761728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff5da0e000,0x7fff5da2f65a,242761728
shared-library,"/usr/lib/libz.1.dylib",0x7fff5e4242d0,0x7fff5e42fbe5,242761728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff5e4d1b08,0x7fff5e4d456d,242761728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff5e4d6c14,0x7fff5e4dfde1,242761728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff5e4e1ef4,0x7fff5e4e6a8b,242761728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff5e4ea09c,0x7fff5e4f12dc,242761728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff5e4f3e80,0x7fff5e558ab9,242761728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff5e601a58,0x7fff5e62c9ce,242761728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff5e63b014,0x7fff5e653410,242761728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff5e658a51,0x7fff5e658e80,242761728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff5e666fc0,0x7fff5e666fc0,242761728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff5e6676e8,0x7fff5e66b9dc,242761728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff5e66d26e,0x7fff5e66eb42,242761728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff5e66f944,0x7fff5e670c73,242761728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff5e672748,0x7fff5e687150,242761728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff5e68985d,0x7fff5e689d0e,242761728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff5e68b100,0x7fff5e70c18f,242761728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff5e714e04,0x7fff5e7176c0,242761728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff5e7192d0,0x7fff5e71b3eb,242761728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff5e71cfda,0x7fff5e71dc44,242761728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff5e71ef3c,0x7fff5e7234cd,242761728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff5e7261f0,0x7fff5e76b41e,242761728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff5e797140,0x7fff5e7c7143,242761728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff5e7e3250,0x7fff5e7fc31f,242761728
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff5e803e50,0x7fff5e905068,242761728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff5e933cff,0x7fff5e93b82e,242761728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff5e93f148,0x7fff5e94783e,242761728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff5e95d040,0x7fff5e95f52d,242761728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff5e960a1f,0x7fff5e961588,242761728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff5e76ff10,0x7fff5e78d75d,242761728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff5e948820,0x7fff5e94e38d,242761728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff5e950f78,0x7fff5e95910e,242761728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff5e962938,0x7fff5e96831e,242761728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff5e96b094,0x7fff5e97ac8d,242761728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff5e97f96c,0x7fff5e9842a7,242761728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff5e986d08,0x7fff5e9a792a,242761728
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff5be24e80,0x7fff5be4f689,242761728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff5c5eb600,0x7fff5c609d64,242761728
tick,0x11114caa8,600,0,0x0,4
profiler,"begin",1000
tick,0x7fff5e94cfc9,1918,0,0x0,4
tick,0x7fff5e94d060,3168,0,0x0,4
code-creation,Builtin,5,3818,0x341341352400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3819,0x341341352480,15,"ObjectSeal"
code-creation,Builtin,5,3819,0x341341352500,848,"ObjectCreate"
code-creation,Builtin,5,3820,0x3413413528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3821,0x341341352940,15,"ObjectDefineProperty"
code-creation,Builtin,5,3821,0x3413413529c0,15,"ObjectFreeze"
code-creation,Builtin,5,3822,0x341341352a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3825,0x341341352ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3826,0x341341352b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3826,0x341341352bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3827,0x341341352c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3827,0x341341352cc0,540,"ObjectKeys"
code-creation,Builtin,5,3828,0x341341352f40,15,"ObjectEntries"
code-creation,Builtin,5,3829,0x341341352fc0,15,"ObjectValues"
code-creation,Builtin,5,3829,0x341341353040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3830,0x3413413530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3830,0x341341353140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3831,0x341341353940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3832,0x3413413539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3832,0x341341353a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3833,0x341341353b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3834,0x341341353c00,1188,"ObjectPrototypeToString"
code-creation,Builtin,5,3834,0x341341354120,132,"ClassOf"
code-creation,Builtin,5,3835,0x341341354220,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3836,0x3413413542c0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3836,0x341341354340,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3837,0x3413413543c0,15,"FunctionConstructor"
code-creation,Builtin,5,3838,0x341341354440,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3839,0x3413413544e0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3839,0x341341354a20,81,"CallVarargs"
code-creation,Builtin,5,3840,0x341341354ae0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3840,0x341341354ea0,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3841,0x341341354f20,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3842,0x341341354fc0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3842,0x341341355040,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,3843,0x3413413551a0,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,3844,0x341341355240,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,3844,0x3413413556c0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,3845,0x341341355b40,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,3846,0x341341355c40,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,3846,0x341341355d60,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,3847,0x341341355e80,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,3848,0x341341355fa0,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,3848,0x3413413560c0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,3849,0x3413413561c0,20,"ArrayConstructor"
code-creation,Builtin,5,3850,0x341341356240,99,"ArrayIsArray"
code-creation,Builtin,5,3850,0x341341356320,15,"ArrayConcat"
code-creation,Builtin,5,3851,0x3413413563a0,651,"FastArrayPop"
code-creation,Builtin,5,3851,0x3413413566a0,15,"ArrayPop"
code-creation,Builtin,5,3852,0x341341356720,2400,"FastArrayPush"
code-creation,Builtin,5,3853,0x3413413570e0,15,"ArrayPush"
code-creation,Builtin,5,3853,0x341341357160,1056,"FastArrayShift"
code-creation,Builtin,5,3854,0x3413413575e0,15,"ArrayShift"
code-creation,Builtin,5,3855,0x341341357660,15,"ArrayUnshift"
code-creation,Builtin,5,3855,0x3413413576e0,15,"ArraySlice"
code-creation,Builtin,5,3856,0x341341357760,15,"ArraySplice"
code-creation,Builtin,5,3856,0x3413413577e0,1264,"ArrayIncludes"
code-creation,Builtin,5,3857,0x341341357d40,1052,"ArrayIndexOf"
code-creation,Builtin,5,3858,0x3413413581c0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,3858,0x3413413583c0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,3859,0x341341358640,526,"ArrayPrototypeValues"
code-creation,Builtin,5,3860,0x3413413588c0,1509,"ArrayForEach"
code-creation,Builtin,5,3860,0x341341358f20,538,"ToLength"
code-creation,Builtin,5,3861,0x3413413591a0,249,"NonNumberToNumber"
code-creation,Builtin,5,3861,0x341341359300,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,3865,0x341341359420,2784,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,3868,0x341341359f60,1936,"ProxyHasProperty"
code-creation,Builtin,5,3868,0x34134135a760,2028,"HasProperty"
code-creation,Builtin,5,3869,0x34134135afc0,5774,"ArrayFilter"
code-creation,Builtin,5,3870,0x34134135c6c0,4696,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,3870,0x34134135d980,2764,"ArrayMap"
code-creation,Builtin,5,3871,0x34134135e4c0,2832,"ArrayMapLoopContinuation"
code-creation,Builtin,5,3871,0x34134135f040,1761,"ArrayEvery"
code-creation,Builtin,5,3872,0x34134135f7a0,2880,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,3873,0x341341360340,1737,"ArraySome"
code-creation,Builtin,5,3873,0x341341360a80,2864,"ArraySomeLoopContinuation"
code-creation,Builtin,5,3874,0x341341361620,1643,"ArrayReduce"
code-creation,Builtin,5,3875,0x341341361d00,2872,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,3875,0x3413413628a0,1788,"ArrayReduceRight"
code-creation,Builtin,5,3876,0x341341363000,2864,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,3877,0x341341363ba0,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,3877,0x3413413647e0,47,"NumberConstructor"
code-creation,Builtin,5,3878,0x341341364880,241,"ToNumber"
code-creation,Builtin,5,3879,0x3413413649e0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,3879,0x341341364b20,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,3880,0x341341364ba0,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,3881,0x341341364c20,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,3881,0x341341364ca0,15,"NumberPrototypeToString"
code-creation,Builtin,5,3882,0x341341364d20,127,"NumberPrototypeValueOf"
code-creation,Builtin,5,3883,0x341341364e00,72,"NumberIsFinite"
code-creation,Builtin,5,3883,0x341341364ec0,320,"NumberIsInteger"
code-creation,Builtin,5,3884,0x341341365060,64,"NumberIsNaN"
code-creation,Builtin,5,3885,0x341341365100,356,"NumberIsSafeInteger"
code-creation,Builtin,5,3885,0x3413413652e0,155,"NumberParseFloat"
code-creation,Builtin,5,3886,0x3413413653e0,323,"ToString"
code-creation,Builtin,5,3886,0x3413413655a0,311,"NumberParseInt"
code-creation,Builtin,5,3887,0x341341365740,15,"BooleanConstructor"
code-creation,Builtin,5,3888,0x3413413657c0,15,"BooleanConstructor_ConstructStub"
code-creation,Builtin,5,3888,0x341341365840,131,"BooleanPrototypeToString"
code-creation,Builtin,5,3889,0x341341365940,127,"BooleanPrototypeValueOf"
code-creation,Builtin,5,3890,0x341341365a20,105,"StringConstructor"
code-creation,Builtin,5,3890,0x341341365b00,192,"StringConstructor_ConstructStub"
code-creation,Builtin,5,3891,0x341341365c20,1660,"StringFromCharCode"
code-creation,Builtin,5,3891,0x341341366300,15,"StringFromCodePoint"
code-creation,Builtin,5,3892,0x341341366380,1432,"StringPrototypeCharAt"
code-creation,Builtin,5,3893,0x341341366980,1058,"StringPrototypeCharCodeAt"
code-creation,Builtin,5,3893,0x341341366e20,1568,"StringPrototypeCodePointAt"
code-creation,Builtin,5,3894,0x3413413674a0,420,"StringPrototypeConcat"
code-creation,Builtin,5,3895,0x3413413676c0,15,"StringPrototypeEndsWith"
code-creation,Builtin,5,3895,0x341341367740,1720,"StringPrototypeIncludes"
code-creation,Builtin,5,3896,0x341341367e60,1576,"StringPrototypeIndexOf"
code-creation,Builtin,5,3897,0x341341368500,15,"StringPrototypeLastIndexOf"
code-creation,Builtin,5,3897,0x341341368580,15,"StringPrototypeNormalizeIntl"
code-creation,Builtin,5,3898,0x341341368600,1456,"StringPrototypeReplace"
code-creation,Builtin,5,3899,0x341341368c20,19888,"RegExpReplace"
code-creation,Builtin,5,3899,0x34134136da40,1120,"StringIndexOf"
code-creation,Builtin,5,3900,0x34134136df00,243,"RegExpExecAtom"
code-creation,Builtin,5,3901,0x34134136e060,4384,"StringPrototypeSlice"
code-creation,Builtin,5,3901,0x34134136f1e0,2384,"StringPrototypeSplit"
code-creation,Builtin,5,3902,0x34134136fba0,17038,"RegExpSplit"
code-creation,Builtin,5,3903,0x341341373ea0,4656,"StringPrototypeSubstr"
code-creation,Builtin,5,3903,0x341341375140,4696,"StringPrototypeSubstring"
code-creation,Builtin,5,3904,0x341341376400,15,"StringPrototypeStartsWith"
code-creation,Builtin,5,3907,0x341341376480,127,"StringPrototypeToString"
code-creation,Builtin,5,3908,0x341341376560,15,"StringPrototypeTrim"
code-creation,Builtin,5,3908,0x3413413765e0,15,"StringPrototypeTrimLeft"
code-creation,Builtin,5,3909,0x341341376660,15,"StringPrototypeTrimRight"
code-creation,Builtin,5,3910,0x3413413766e0,147,"StringPrototypeToLowerCaseIntl"
code-creation,Builtin,5,3910,0x3413413767e0,856,"StringToLowerCaseIntl"
code-creation,Builtin,5,3911,0x341341376ba0,15,"StringPrototypeToUpperCaseIntl"
code-creation,Builtin,5,3912,0x341341376c20,127,"StringPrototypeValueOf"
code-creation,Builtin,5,3912,0x341341376d00,336,"StringPrototypeIterator"
code-creation,Builtin,5,3913,0x341341376ec0,1832,"StringIteratorPrototypeNext"
code-creation,Builtin,5,3913,0x341341377660,15,"SymbolConstructor"
code-creation,Builtin,5,3914,0x3413413776e0,15,"SymbolConstructor_ConstructStub"
code-creation,Builtin,5,3915,0x341341377760,15,"SymbolFor"
code-creation,Builtin,5,3915,0x3413413777e0,15,"SymbolKeyFor"
code-creation,Builtin,5,3916,0x341341377860,143,"SymbolPrototypeToString"
code-creation,Builtin,5,3917,0x341341377960,123,"SymbolPrototypeValueOf"
code-creation,Builtin,5,3917,0x341341377a40,123,"SymbolPrototypeToPrimitive"
code-creation,Builtin,5,3918,0x341341377b20,15,"DateConstructor"
code-creation,Builtin,5,3919,0x341341377ba0,15,"DateConstructor_ConstructStub"
code-creation,Builtin,5,3919,0x341341377c20,15,"DateNow"
code-creation,Builtin,5,3920,0x341341377ca0,15,"DateParse"
code-creation,Builtin,5,3921,0x341341377d20,15,"DateUTC"
code-creation,Builtin,5,3921,0x341341377da0,15,"DatePrototypeToString"
code-creation,Builtin,5,3922,0x341341377e20,15,"DatePrototypeToDateString"
code-creation,Builtin,5,3922,0x341341377ea0,15,"DatePrototypeToTimeString"
code-creation,Builtin,5,3923,0x341341377f20,15,"DatePrototypeToISOString"
code-creation,Builtin,5,3924,0x341341377fa0,15,"DatePrototypeToUTCString"
code-creation,Builtin,5,3924,0x341341378020,147,"DatePrototypeGetDate"
code-creation,Builtin,5,3925,0x341341378120,15,"DatePrototypeSetDate"
code-creation,Builtin,5,3926,0x3413413781a0,147,"DatePrototypeGetDay"
code-creation,Builtin,5,3926,0x3413413782a0,147,"DatePrototypeGetFullYear"
code-creation,Builtin,5,3927,0x3413413783a0,15,"DatePrototypeSetFullYear"
code-creation,Builtin,5,3928,0x341341378420,147,"DatePrototypeGetHours"
code-creation,Builtin,5,3928,0x341341378520,15,"DatePrototypeSetHours"
code-creation,Builtin,5,3929,0x3413413785a0,119,"DatePrototypeGetMilliseconds"
code-creation,Builtin,5,3929,0x341341378680,15,"DatePrototypeSetMilliseconds"
code-creation,Builtin,5,3930,0x341341378700,147,"DatePrototypeGetMinutes"
code-creation,Builtin,5,3931,0x341341378800,15,"DatePrototypeSetMinutes"
code-creation,Builtin,5,3931,0x341341378880,147,"DatePrototypeGetMonth"
code-creation,Builtin,5,3932,0x341341378980,15,"DatePrototypeSetMonth"
code-creation,Builtin,5,3933,0x341341378a00,147,"DatePrototypeGetSeconds"
code-creation,Builtin,5,3933,0x341341378b00,15,"DatePrototypeSetSeconds"
code-creation,Builtin,5,3934,0x341341378b80,79,"DatePrototypeGetTime"
code-creation,Builtin,5,3934,0x341341378c40,15,"DatePrototypeSetTime"
code-creation,Builtin,5,3935,0x341341378cc0,119,"DatePrototypeGetTimezoneOffset"
code-creation,Builtin,5,3936,0x341341378da0,119,"DatePrototypeGetUTCDate"
code-creation,Builtin,5,3936,0x341341378e80,15,"DatePrototypeSetUTCDate"
code-creation,Builtin,5,3937,0x341341378f00,119,"DatePrototypeGetUTCDay"
code-creation,Builtin,5,3938,0x341341378fe0,119,"DatePrototypeGetUTCFullYear"
code-creation,Builtin,5,3938,0x3413413790c0,15,"DatePrototypeSetUTCFullYear"
code-creation,Builtin,5,3939,0x341341379140,119,"DatePrototypeGetUTCHours"
code-creation,Builtin,5,3940,0x341341379220,15,"DatePrototypeSetUTCHours"
code-creation,Builtin,5,3940,0x3413413792a0,119,"DatePrototypeGetUTCMilliseconds"
code-creation,Builtin,5,3941,0x341341379380,15,"DatePrototypeSetUTCMilliseconds"
code-creation,Builtin,5,3942,0x341341379400,119,"DatePrototypeGetUTCMinutes"
code-creation,Builtin,5,3942,0x3413413794e0,15,"DatePrototypeSetUTCMinutes"
code-creation,Builtin,5,3945,0x341341379560,119,"DatePrototypeGetUTCMonth"
code-creation,Builtin,5,3946,0x341341379640,15,"DatePrototypeSetUTCMonth"
code-creation,Builtin,5,3947,0x3413413796c0,119,"DatePrototypeGetUTCSeconds"
code-creation,Builtin,5,3947,0x3413413797a0,15,"DatePrototypeSetUTCSeconds"
code-creation,Builtin,5,3948,0x341341379820,79,"DatePrototypeValueOf"
code-creation,Builtin,5,3949,0x3413413798e0,15,"DatePrototypeGetYear"
code-creation,Builtin,5,3949,0x341341379960,15,"DatePrototypeSetYear"
code-creation,Builtin,5,3950,0x3413413799e0,15,"DatePrototypeToJson"
code-creation,Builtin,5,3950,0x341341379a60,307,"DatePrototypeToPrimitive"
code-creation,Builtin,5,3951,0x341341379c00,260,"OrdinaryToPrimitive_String"
code-creation,Builtin,5,3952,0x341341379d80,215,"PromiseGetCapabilitiesExecutor"
code-creation,Builtin,5,3952,0x341341379ec0,161,"JSBuiltinsConstructStub"
code-creation,Builtin,5,3953,0x341341379fe0,2236,"NewPromiseCapability"
code-creation,Builtin,5,3954,0x34134137a900,2476,"PromiseConstructor"
code-creation,Builtin,5,3954,0x34134137b320,4505,"PromiseAll"
code-creation,Builtin,5,3955,0x34134137c520,3416,"PromiseRace"
code-creation,Builtin,5,3956,0x34134137d2e0,7092,"PromiseResolve"
code-creation,Builtin,5,3957,0x341341384060,2612,"PromiseReject"
code-creation,Builtin,5,3957,0x341341384b00,7980,"PromiseThen"
code-creation,Builtin,5,3958,0x341341386aa0,8124,"PromiseCatch"
code-creation,Builtin,5,3959,0x341341388ac0,298,"PromiseInternalConstructor"
code-creation,Builtin,5,3959,0x341341388c60,15,"IsPromise"
code-creation,Builtin,5,3960,0x341341388ce0,3848,"ResolvePromise"
code-creation,Builtin,5,3960,0x341341389c60,4308,"PromiseHandle"
code-creation,Builtin,5,3961,0x34134138ada0,660,"PromiseHandleReject"
code-creation,Builtin,5,3962,0x34134138b0a0,668,"InternalPromiseReject"
code-creation,Builtin,5,3962,0x34134138b3a0,3896,"PromiseResolveClosure"
code-creation,Builtin,5,3963,0x34134138c340,724,"PromiseRejectClosure"
code-creation,Builtin,5,3964,0x34134138c680,752,"PromiseAllResolveElementClosure"
code-creation,Builtin,5,3964,0x34134138c9e0,2340,"RegExpConstructor"
code-creation,Builtin,5,3965,0x34134138d380,9183,"RegExpPrototypeExec"
code-creation,Builtin,5,3966,0x34134138f7c0,9074,"RegExpPrototypeExecSlow"
code-creation,Builtin,5,3966,0x341341391ba0,1711,"RegExpPrototypeFlagsGetter"
code-creation,Builtin,5,3967,0x3413413922c0,195,"RegExpPrototypeGlobalGetter"
code-creation,Builtin,5,3968,0x341341392400,195,"RegExpPrototypeIgnoreCaseGetter"
code-creation,Builtin,5,3969,0x341341392540,195,"RegExpPrototypeMultilineGetter"
code-creation,Builtin,5,3969,0x341341392680,251,"RegExpPrototypeSourceGetter"
code-creation,Builtin,5,3970,0x3413413927e0,195,"RegExpPrototypeStickyGetter"
code-creation,Builtin,5,3971,0x341341392920,195,"RegExpPrototypeUnicodeGetter"
code-creation,Builtin,5,3971,0x341341392a60,950,"RegExpPrototypeCompile"
code-creation,Builtin,5,3972,0x341341392e80,15,"RegExpPrototypeToString"
code-creation,Builtin,5,3972,0x341341392f00,2104,"RegExpPrototypeTest"
code-creation,Builtin,5,3973,0x3413413937a0,20160,"RegExpPrototypeMatch"
code-creation,Builtin,5,3974,0x3413413986c0,447,"RegExpPrototypeReplace"
code-creation,Builtin,5,3974,0x3413413988e0,3600,"RegExpPrototypeSearch"
code-creation,Builtin,5,3975,0x341341399760,447,"RegExpPrototypeSplit"
code-creation,Builtin,5,3976,0x341341399980,15,"RegExpInputGetter"
code-creation,Builtin,5,3976,0x341341399a00,15,"RegExpInputSetter"
code-creation,Builtin,5,3977,0x341341399a80,15,"RegExpLastMatchGetter"
code-creation,Builtin,5,3978,0x341341399b00,15,"RegExpLastParenGetter"
code-creation,Builtin,5,3978,0x341341399b80,15,"RegExpLeftContextGetter"
code-creation,Builtin,5,3979,0x341341399c00,15,"RegExpRightContextGetter"
code-creation,Builtin,5,3980,0x341341399c80,15,"RegExpCapture1Getter"
code-creation,Builtin,5,3980,0x341341399d00,15,"RegExpCapture2Getter"
code-creation,Builtin,5,3981,0x341341399d80,15,"RegExpCapture3Getter"
code-creation,Builtin,5,3981,0x341341399e00,15,"RegExpCapture4Getter"
code-creation,Builtin,5,3982,0x341341399e80,15,"RegExpCapture5Getter"
code-creation,Builtin,5,3985,0x341341399f00,15,"RegExpCapture6Getter"
code-creation,Builtin,5,3985,0x341341399f80,15,"RegExpCapture7Getter"
code-creation,Builtin,5,3986,0x34134139a000,15,"RegExpCapture8Getter"
code-creation,Builtin,5,3987,0x34134139a080,15,"RegExpCapture9Getter"
code-creation,Builtin,5,3987,0x34134139a100,8544,"RegExpInternalMatch"
code-creation,Builtin,5,3988,0x34134139c2c0,15,"ErrorConstructor"
code-creation,Builtin,5,3989,0x34134139c340,15,"ErrorCaptureStackTrace"
code-creation,Builtin,5,3989,0x34134139c3c0,15,"ErrorPrototypeToString"
code-creation,Builtin,5,3990,0x34134139c440,15,"MakeError"
code-creation,Builtin,5,3990,0x34134139c4c0,15,"MakeRangeError"
code-creation,Builtin,5,3991,0x34134139c540,15,"MakeSyntaxError"
code-creation,Builtin,5,3992,0x34134139c5c0,15,"MakeTypeError"
code-creation,Builtin,5,3992,0x34134139c640,15,"MakeURIError"
code-creation,Builtin,5,3993,0x34134139c6c0,15,"JsonParse"
code-creation,Builtin,5,3994,0x34134139c740,15,"JsonStringify"
code-creation,Builtin,5,3994,0x34134139c7c0,219,"MathAbs"
code-creation,Builtin,5,3995,0x34134139c900,219,"MathAcos"
code-creation,Builtin,5,3995,0x34134139ca40,219,"MathAcosh"
code-creation,Builtin,5,3996,0x34134139cb80,219,"MathAsin"
code-creation,Builtin,5,3997,0x34134139ccc0,219,"MathAsinh"
code-creation,Builtin,5,3997,0x34134139ce00,219,"MathAtan"
code-creation,Builtin,5,3998,0x34134139cf40,219,"MathAtanh"
code-creation,Builtin,5,3999,0x34134139d080,287,"MathAtan2"
code-creation,Builtin,5,3999,0x34134139d200,447,"MathCeil"
code-creation,Builtin,5,4000,0x34134139d420,219,"MathCbrt"
code-creation,Builtin,5,4000,0x34134139d560,219,"MathExpm1"
code-creation,Builtin,5,4001,0x34134139d6a0,135,"MathClz32"
code-creation,Builtin,5,4001,0x34134139d7a0,219,"MathCos"
code-creation,Builtin,5,4002,0x34134139d8e0,219,"MathCosh"
code-creation,Builtin,5,4003,0x34134139da20,219,"MathExp"
code-creation,Builtin,5,4003,0x34134139db60,447,"MathFloor"
code-creation,Builtin,5,4004,0x34134139dd80,191,"MathFround"
code-creation,Builtin,5,4004,0x34134139dea0,15,"MathHypot"
code-creation,Builtin,5,4005,0x34134139df20,231,"MathImul"
code-creation,Builtin,5,4006,0x34134139e080,219,"MathLog"
code-creation,Builtin,5,4006,0x34134139e1c0,219,"MathLog1p"
code-creation,Builtin,5,4007,0x34134139e300,219,"MathLog2"
code-creation,Builtin,5,4007,0x34134139e440,219,"MathLog10"
code-creation,Builtin,5,4008,0x34134139e580,404,"MathMax"
code-creation,Builtin,5,4009,0x34134139e780,416,"MathMin"
code-creation,Builtin,5,4009,0x34134139e980,319,"MathPow"
code-creation,Builtin,5,4010,0x34134139eb20,282,"MathRandom"
code-creation,Builtin,5,4010,0x34134139eca0,515,"MathRound"
code-creation,Builtin,5,4011,0x34134139ef20,283,"MathSign"
code-creation,Builtin,5,4012,0x34134139f0a0,219,"MathSin"
code-creation,Builtin,5,4012,0x34134139f1e0,219,"MathSinh"
code-creation,Builtin,5,4013,0x34134139f320,187,"MathSqrt"
code-creation,Builtin,5,4013,0x34134139f440,219,"MathTan"
code-creation,Builtin,5,4014,0x34134139f580,219,"MathTanh"
code-creation,Builtin,5,4015,0x34134139f6c0,447,"MathTrunc"
code-creation,Builtin,5,4015,0x34134139f8e0,15,"ConsoleDebug"
code-creation,Builtin,5,4016,0x34134139f960,15,"ConsoleError"
code-creation,Builtin,5,4016,0x34134139f9e0,15,"ConsoleInfo"
code-creation,Builtin,5,4017,0x34134139fa60,15,"ConsoleLog"
code-creation,Builtin,5,4018,0x34134139fae0,15,"ConsoleWarn"
code-creation,Builtin,5,4018,0x34134139fb60,15,"ConsoleDir"
code-creation,Builtin,5,4019,0x34134139fbe0,15,"ConsoleDirXml"
code-creation,Builtin,5,4019,0x34134139fc60,15,"ConsoleTable"
code-creation,Builtin,5,4020,0x34134139fce0,15,"ConsoleTrace"
code-creation,Builtin,5,4021,0x34134139fd60,15,"ConsoleGroup"
code-creation,Builtin,5,4021,0x34134139fde0,15,"ConsoleGroupCollapsed"
code-creation,Builtin,5,4022,0x34134139fe60,15,"ConsoleGroupEnd"
